"rule_id","source","source_document","source_url","authority","standard","ig_versions","rule_type","publisher_id","conformance_rule_origin","cited_guidance","message","description","domains","classes","severity","sensitivity","executability","status","notes"
"SD0040","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Inconsistent value for --TEST within --TESTCD","All values of Name of Measurement, Test or Examination (--TEST) should be the same for a given value of Short Name of Measurement, Test or Examination (--TESTCD).","FINDINGS, FINDINGS ABOUT","","Error","","Reference","Published",""
"SD0041","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Value for --OCCUR is populated for unsolicited Intervention or Event","Occurrence (--OCCUR) may only be populated when a given Intervention or Event has been pre-specified (--PRESP = 'Y').","INTERVENTIONS (-EX), EVENTS (-AE, -DS, -DV)","","Warning","","Reference","Published",""
"SD0042","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","--STAT does not equal 'NOT DONE' when --PRESP='Y' and --OCCUR is null","When no response is provided for Occurrence (--OCCUR) for a pre-specified Intervention or Event (--PRESP = 'Y'), then Status (--STAT) should be set to 'NOT DONE'.","INTERVENTIONS (-EX), EVENTS (-AE, -DS, -DV)","","Warning","","Reference","Published",""
"SD0043","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --TRTV when --VAMT is not null","Treatment Vehicle (--TRTV) should be provided when Treatment Vehicle Amount (--VAMT) is specified.","INTERVENTIONS","","Warning","","Reference","Published",""
"SD0044","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --VAMTU when --VAMT is populated","Treatment Vehicle Amount Units (--VAMTU) should not be null when Treatment Vehicle Amount (--VAMT) is populated.","INTERVENTIONS","","Warning","","Reference","Published",""
"SD0045","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --STRESC when --RESCAT is populated","Character Result/Finding in Std Units (--STRESC) should be provided when Result Category (--RESCAT) is specified.","FINDINGS, FINDINGS ABOUT","","Warning","","Reference","Published",""
"SD0046","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Inconsistent value for QLABEL within QNAM","All values of Qualifier Variable Label (QLABEL) should be the same for a given value of Qualifier Variable Name (QNAM).","SUPPQUAL","","Error","","Reference","Published",""
"SD0047","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --ORRES when --STAT or --DRVFL is not populated","Status (--STAT) should be set to 'NOT DONE' or Derived Flag (--DRVFL) should have a value of 'Y' when Result or Finding in Original Units (--ORRES) is null.","FINDINGS, FINDINGS ABOUT","","Warning","","Reference","Published",""
"SD0049","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --STTPT when --STRTPT is populated","Start Reference Time Point (--STTPT) must not be null when Start Relative to Reference Time Point (--STRTPT) is provided.","SPECIAL PURPOSE (-CO, -DM), INTERVENTIONS, FINDINGS, EVENTS, FINDINGS ABOUT","","Warning","","Reference","Published",""
"SD0050","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for --ENTPT when --ENRTPT is populated","End Reference Time Point (--ENTPT) must not be null when End Relative to Reference Time Point (--ENRTPT) is provided.","SPECIAL PURPOSE (-CO, -DM), INTERVENTIONS, FINDINGS, EVENTS, FINDINGS ABOUT","","Warning","","Reference","Published",""
"SD0051","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Inconsistent value for VISIT within VISITNUM","All values of Visit Name (VISIT) should be the same for a given value of Visit Number (VISITNUM).","SPECIAL PURPOSE, INTERVENTIONS, FINDINGS, EVENTS, FINDINGS ABOUT, TV","","Warning","","Reference","Published",""
"SD0052","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Inconsistent value for VISITNUM within VISIT","All values of Visit Number (VISITNUM) should be the same for a given value of Visit Name (VISIT).","SPECIAL PURPOSE, INTERVENTIONS, FINDINGS, EVENTS, FINDINGS ABOUT, TV","","Warning","","Reference","Published",""
"SD0053","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","ARM is not 'Not Assigned' when ARMCD equals 'NOTASSGN', or vice versa","Description of Arm (ARM) must equal 'Not Assigned' when Arm Code (ARMCD) is 'NOTASSGN', and vice versa.","DM, TA","","Error","","Reference","Published",""
"SD0054","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Variable in define.xml is not present in the dataset","Variables listed in the data definition document (define.xml) should be included in the dataset.","ALL","","Error","","Reference","Published",""
"SD0055","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SDTM/dataset variable type mismatch","Variable Data Types in the dataset should match the variable data types described in SDTM.","ALL","","Warning","","Reference","Published",""
"SD0056","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SDTM Required variable not found","Variables described in SDTM IG as Required must be included in the dataset.","ALL","","Reject","","Reference","Published",""
"SD0057","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SDTM Expected variable not found","Variables described in SDTM IG as Expected should be included in the dataset.","ALL","","Warning","","Reference","Published",""
"SD0058","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Variable appears in dataset, but is not in SDTM model","Only variables listed in SDTM model should appear in a dataset. New sponsor defined variables must not be added, and existing variables must not be renamed or modified.","ALL","","Error","","Reference","Published",""
"SD0059","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Define.xml/dataset variable type mismatch","Variable DataType in define.xml must match variable Type in dataset. Define-XML data types of 'integer' and 'float' match dataset type of 'Num', all other match 'Char'.","ALL","","Warning","","Reference","Published",""
"SD0060","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Variable in dataset is not present in define.xml","Variables included in the dataset must be described in the data definition document (define.xml).","ALL","","Error","","Reference","Published",""
"SD0061","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Domain referenced in define.xml, but dataset is missing","Domains referenced in data definition document (define.xml) should be included in the submission.","ALL","","Error","","Reference","Published",""
"SD0062","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Incompatible data source","Domain table must have a valid format (e.g., SAS transport (XPORT) v.5 or text-delimited).","ALL","","Reject","","Reference","Published",""
"SD0063","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SDTM/dataset variable label mismatch","Variable Label in the dataset should match the variable label described in SDTM IG. When creating a new domain Variable Labels could be adjusted as appropriate to properly convey the meaning in the context of the data being submitted.","ALL (-APAE, -APMH, -APRELSUB, -RELSUB, -APDM)","","Warning","","Reference","Published",""
"SD0063A","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SDTM/dataset variable label mismatch","Variable Label in the dataset should match the variable label described in SDTM IG. When creating a new domain Variable Labels could be adjusted as appropriate to properly convey the meaning in the context of the data being submitted.","ALL (-APAE, -APMH, -APRELSUB, -RELSUB, -APDM)","","Warning","","Reference","Published",""
"SD0064","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Subject is not present in DM domain","All Subjects (USUBJID) must be present in Demographics (DM) domain.","ALL (-DM, -DI, -OI, -TA, -TD, -TE, -TI, -TM, -TS, -TV)","","Reject","","Reference","Published",""
"SD0065","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","USUBJID/VISIT/VISITNUM values do not match SV domain data","All Unique Subject Identifier (USUBJID) + Visit Name (VISIT) + Visit Number (VISITNUM) combination values in data should be present in the Subject Visits (SV) domain. There is an exception for records, where Status (--STAT) variable value is populated. E.g., --STAT = 'NOT DONE'. Another exception is for records, where Occurrence (ECOCCUR) is 'N' in EC domain.","SPECIAL PURPOSE (-SV), INTERVENTIONS, FINDINGS, EVENTS, FINDINGS ABOUT","","Warning","","Reference","Published",""
"SD0066","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid ARMCD","Planned Arm Code (ARMCD) values should match entries in the Trial Arms (TA) dataset, except for subjects who failed screening (ARMCD = 'SCRNFAIL') or were not fully assigned to an Arm (ARMCD = 'NOTASSGN').","DM","","Error","","Reference","Published",""
"SD0067","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid ETCD","Element Code (ETCD) values should match entries in the Trial Elements (TE) dataset, except for unplanned Element (ETCD = 'UNPLAN').","SE, TA","","Error","","Reference","Published",""
"SD0068","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","IETESTCD value doesn't exist in TI domain","A value for Inclusion/Exclusion Criterion Short Name (IETESTCD) must be present the Trial Inclusion/Exclusion Criteria (TI) domain.","IE","","Error","","Reference","Published",""
"SD0069","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","No Disposition record found for subject","All Demographics (DM) subjects (USUBJID) should have at least one record in the Disposition (DS) domain. The only possible exceptions for SDTMIG v3.2 (and earlier) are Screen Failures (ARMCD=SCRNFAIL) and Not Assigned Treatment (ARMCD=NOTASSGN) subjects, or subjects with ARMCD=null. If the study is ongoing, Parameter Value (TSVAL) for the 'ONGOSIND/Ongoing Study Indicator' parameter should be set to 'Y' in the Trial Summary (TS) domain.","DM","","Warning","","Reference","Published",""
"SD0070","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","No Exposure record found for subject","All Demographics (DM) subjects (USUBJID) participating in a study that includes investigational product should have at least one record in the Exposure (EX) domain, except for subjects who failed screening (ARMCD = 'SCRNFAIL'), were not fully assigned to an Arm (ARMCD = 'NOTASSGN') or did not receive study treatment (ACTARMCD = 'NOTTRT').","DM","","Warning","","Reference","Published",""
"SD0071","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid ARM/ARMCD","The combination of Description of Planned Arm (ARM) and Planned Arm Code (ARMCD) values must match entries in the Trial Arms (TA) dataset, except for subjects who failed screening (ARMCD = 'SCRNFAIL') or were not fully assigned to an Arm (ARMCD = 'NOTASSGN').","DM","","Error","","Reference","Published",""
"SD0072","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid RDOMAIN","Related Domain Abbreviation (RDOMAIN) must have a valid value of Domains included in the study data.","CO, RELREC, SUPPQUAL","","Error","","Reference","Published",""
"SD0075","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid IDVAR","Identifying Variable (IDVAR) must have a valid value of variables from a referenced Domain.","CO, RELREC, SUPPQUAL","","Error","","Reference","Published",""
"SD0077","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Invalid referenced record","Reference record defined by Related Domain Abbreviation (RDOMAIN), Unique Subject Identifier (USUBJID), Identifying Variable (IDVAR) and Identifying Variable Value (IDVARVAL) must exist in the target Domain.","CO, RELREC, SUPPQUAL","","Error","","Reference","Published",""
"SD0079","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","EX record is present when subject is not assigned to an arm","Subjects that are not assigned to an Arm (ARMCD='NOTASSGN') or are screen failures (ARMCD='SCRNFAIL'), or ARM=null, should not have any Exposure records. Run-in records (EPOCH='RUN-IN') are excluded from firing for this validation rule.","EX","","Warning","","Reference","Published",""
"SD0080","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","AE start date is after the latest Disposition date","Start Date/Time of Adverse Event (AESTDTC) should be less than or equal to the Start Date/Time of the latest Disposition Event (DSSTDTC). Investigator should provide a date of study discontinuation for each subject in Disposition (DS) domain. If the study is ongoing, Parameter Value (TSVAL) for the 'ONGOSIND/Ongoing Study Indicator' parameter should be set to 'Y' in the Trial Summary (TS) domain.","AE","","Warning","","Reference","Published",""
"SD0082","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Exposure end date is after the latest Disposition date","End Date/Time of Treatment (EXENDTC) should be less than or equal to the Start Date/Time of the latest Disposition Event (DSSTDTC). Investigator should provide a date of study discontinuation for each subject in Disposition (DS) domain. If the study is ongoing, Parameter Value (TSVAL) for the 'ONGOSIND/Ongoing Study Indicator' parameter should be set to 'Y' in the Trial Summary (TS) domain.","EX","","Warning","","Reference","Published",""
"SD0083","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Duplicate USUBJID in DM within STUDYID","The value of Unique Subject Identifier (USUBJID) variable must be unique for each subject across all trials in the submission. In the Demographics (DM) domain, there should only be one record per subject.","DM","","Error","","Reference","Published",""
"SD0084","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Negative or zero value for AGE","The value of Age (AGE) cannot be less than or equal to 0.","DM","","Error","","Reference","Published",""
"SD0085","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Mismatch between IEORRES and IESTRESC values","I/E Criterion Original Result (IEORRES) and I/E Criterion Result in Std Format (IESTRESC) should have the same value.","IE","","Warning","","Reference","Published",""
"SD0086","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","SUPPQUAL duplicate records","All SUPPQUAL Domains records are associated with a single parent record and must have a unique combination of Study Identifier (STUDYID), Unique Subject Identifier (USUBJID), Identifying Variable (IDVAR), Identifying Variable Value (IDVARVAL) and Qualifier Variable Name (QNAM) variable value. For all SUPPQUAL domain record all The QNAM variable should be unique for each parent record.","SUPPQUAL","","Error","","Reference","Published",""
"SD0087","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","RFSTDTC is not provided for a randomized subject","Subject Reference Start Date/Time (RFSTDTC) should be populated for all randomized subjects, those where Planned Arm Code (ARMCD) is not equal to 'SCRNFAIL' or 'NOTASSGN' or null.","DM","","Warning","","Reference","Published",""
"SD0088","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","RFENDTC is not provided for a randomized subject","Subject Reference End Date/Time (RFENDTC) should be populated for all randomized subjects, those where Planned Arm Code (ARMCD) is not equal to 'SCRNFAIL' or 'NOTASSGN' or null. If the study is ongoing, Parameter Value (TSVAL) for the 'ONGOSIND/Ongoing Study Indicator' parameter should be set to 'Y' in the Trial Summary (TS) domain.","DM","","Warning","","Reference","Published",""
"SD0089","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing values for TEENRL and TEDUR","At least one of Rule for End of Element (TEENRL) or Planned Duration of Element (TEDUR) should be populated.","TE","","Error","","Reference","Published",""
"SD0090","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","AESDTH is not 'Y' when AEOUT='FATAL'","Results in Death (AESDTH) should equal 'Y' when Outcome of Adverse Event (AEOUT) is 'FATAL'.","AE","","Warning","","Reference","Published",""
"SD0091","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","AEOUT is not 'FATAL' when AESDTH='Y'","Outcome of Adverse Event should equal 'FATAL' when Results in Death (AESDTH) is 'Y'.","AE","","Error","","Reference","Published",""
"SD0092","PMDA Validation Rules v6.0 (March 2025)","PMDA Study Data Validation Rules v6.0 - SDTM Rules","https://www.pmda.go.jp/english/review-services/reviews/0002.html","PMDA","SDTM","","","","PMDA (Japan)","","Missing value for SEUPDES when ETCD='UNPLAN'","Description of Unplanned Element (SEUPDES) should be populated when subject's experience for a particular period of time is represented as an unplanned Element, where Element Code (ETCD) is equal to 'UNPLAN'.","SE","","Warning","","Reference","Published",""
