"file","rule_id","standard","category","p21_id","core_id","cg_ids","fda_ids","source_doc","has_p21","has_core","has_cg"
"HRL-AD-0043.yaml","HRL-AD-0043","ADaM","Format","AD0060","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0044.yaml","HRL-AD-0044","ADaM","Presence","AD0061","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0045.yaml","HRL-AD-0045","ADaM","Presence","AD0061A","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0046.yaml","HRL-AD-0046","ADaM","Format","AD0062","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0047.yaml","HRL-AD-0047","ADaM","Format","AD0063","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0048.yaml","HRL-AD-0048","ADaM","Presence","AD0064","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0049.yaml","HRL-AD-0049","ADaM","Format","AD0065","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0050.yaml","HRL-AD-0050","ADaM","Presence","AD0066","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0051.yaml","HRL-AD-0051","ADaM","Format","AD0068","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0052.yaml","HRL-AD-0052","ADaM","Presence","AD0070","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0053.yaml","HRL-AD-0053","ADaM","Format","AD0073","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0054.yaml","HRL-AD-0054","ADaM","Format","AD0074","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0055.yaml","HRL-AD-0055","ADaM","Presence","AD0075","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0056.yaml","HRL-AD-0056","ADaM","Consistency","AD0076","","","","ADaM-IG v1.0",TRUE,FALSE,FALSE
"HRL-AD-0057.yaml","HRL-AD-0057","ADaM","Consistency","AD0076B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0058.yaml","HRL-AD-0058","ADaM","Consistency","AD0077","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
"HRL-AD-0059.yaml","HRL-AD-0059","ADaM","Consistency","AD0077B","","","","ADaM-IG v1.1",TRUE,FALSE,FALSE
